Humedad 1,Temperatura 1,Presion 1,Humedad 2,Temperatura 2,Presion 2
42,23,100144,57,23,100331
42,23,100145,57,23,100326
43,23,100147,57,23,100332
42,23,100147,57,23,100336
43,23,100148,57,23,100337
43,23,100154,57,23,100332
43,23,100150,58,23,100337
43,23,100149,57,23,100337
43,23,100151,57,23,100341
43,23,100156,57,23,100337
43,23,100154,57,23,100337
43,23,100162,57,23,100340
43,23,100156,57,23,100348
43,23,100150,56,23,100346
43,23,100154,57,23,100335
44,23,100152,57,23,100334
44,23,100165,57,23,100337
43,23,100164,57,23,100334
44,23,100164,56,23,100348
43,23,100170,57,23,100336
43,23,100161,57,23,100341
43,23,100159,57,23,100343
43,23,100161,57,23,100348
43,23,100161,57,23,100341
44,23,100168,57,23,100343
43,23,100171,57,23,100344
43,23,100173,57,23,100344
43,23,100168,57,23,100349
44,23,100164,57,23,100347
43,23,100158,57,23,100348
43,23,100179,57,23,100350
43,23,100175,57,23,100359
44,23,100172,56,23,100352
44,23,100169,57,23,100355
44,23,100178,57,23,100356
43,23,100175,57,23,100354
43,23,100177,56,23,100357
43,23,100167,57,23,100354
43,23,100177,56,23,100358
43,23,100186,57,23,100360
44,23,100178,56,23,100363
44,23,100179,56,23,100357
43,23,100180,56,23,100362
43,23,100178,57,23,100357
44,23,100169,56,23,100362
43,23,100178,57,23,100353
43,23,100176,57,23,100362
43,23,100179,57,23,100367
43,23,100184,56,23,100362
43,23,100188,56,23,100363
43,23,100191,57,23,100374
43,23,100196,57,23,100375
43,23,100191,56,23,100369
43,23,100200,57,23,100383
43,23,100193,57,23,100382
43,23,100203,56,23,100381
43,23,100200,57,23,100384
43,23,100199,57,23,100378
43,23,100203,57,23,100379
43,23,100206,56,23,100381
43,23,100207,56,23,100385
43,23,100200,57,23,100378
43,23,100205,57,23,100382
43,23,100209,57,23,100378
43,23,100214,57,23,100387
43,23,100213,56,23,100387
43,23,100213,56,23,100392
43,23,100218,57,23,100396
43,23,100217,56,23,100402
43,23,100216,57,23,100405
43,23,100231,57,23,100398
42,23,100225,57,23,100398
43,23,100218,56,23,100399
43,23,100222,57,23,100403
42,23,100231,56,23,100403
43,23,100231,57,23,100410
43,23,100229,57,23,100414
43,23,100231,57,23,100411
43,23,100233,56,23,100407
43,23,100233,56,23,100403
43,23,100233,57,23,100413
43,23,100236,57,22,100410
43,23,100238,57,22,100414
43,23,100234,56,22,100411
43,23,100224,56,22,100413
42,23,100230,56,22,100416
43,23,100238,57,22,100417
43,23,100233,56,22,100411
43,23,100244,57,22,100417
43,23,100238,56,22,100417
42,23,100237,57,22,100419
42,23,100241,56,22,100421
42,23,100235,57,22,100420
43,23,100237,56,22,100421
42,23,100234,56,22,100422
42,23,100242,56,22,100415
42,23,100239,56,22,100413
42,23,100241,56,22,100417
42,23,100237,57,22,100416
42,23,100241,57,22,100416
43,23,100241,57,22,100420
43,23,100247,57,22,100417
43,23,100247,56,22,100421
43,23,100245,56,22,100426
42,23,100242,56,22,100425
42,23,100258,56,22,100430
43,23,100253,56,22,100433
42,23,100248,56,22,100426
42,23,100252,56,22,100430
42,23,100257,57,22,100440
42,23,100248,56,22,100437
42,23,100258,56,22,100439
42,23,100250,57,22,100441
42,23,100254,56,22,100444
42,23,100257,56,22,100437
42,23,100258,57,22,100442
42,23,100255,57,22,100438
42,23,100257,56,22,100437
42,23,100257,56,22,100437
42,23,100260,57,22,100447
