src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.5,192.168.10.111,67,68,17,2022-08-25 06:55:59,97191763.63945007,2816.6995818242463,4.774067087837706,4.774067087837706,0.0,464,0,273760,0,590.0,590.0,590.0,0.0,0.0,0.0,0.0,0.0,590,590,590.0,0.0,0.0,3712,0,8,464,209917.41606792674,28818908.69140625,94573.2593536377,1344144.5994627888,97191763.63945007,28818908.69140625,94573.2593536377,209917.41606792674,1344144.5994627888,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,590.0,0,0,387359.1423034668,141.8590545654297,26218.35792386854,35552.85238208174,25452689.170837402,5009.41276550293,170140.1782532533,1834640.3832215252,252080.0,460.0,0.0,0.0,4037.8043543572007,0.0,590.0,0.0,0,464,0,273760,0
159.8.229.234,192.168.10.111,5938,51632,6,2022-08-25 06:55:59,97178977.25105286,8493.421348402364,31.333937505161487,13.109831323998598,18.224106181162888,1274,1771,129405,695977,1434.0,54.0,101.57378335949764,187.49596241464226,1434.0,54.0,392.9853190287973,522.2767804120643,1434,54,271.0614121510673,440.4773748323754,194020.31773922092,25480,35420,20,501,31924.76052962214,6078787.803649902,-4.5299530029296875,168207.89918461643,97178764.34326172,6114584.20753479,2.1457672119140625,76338.38518716554,271324.5895817475,97171583.89091492,6078787.803649902,4.5299530029296875,54899.19993837001,224373.0823787084,0,0,0,0,1,0,0,0,0,0,0,1.39010989010989,271.0614121510673,1021,7230,6077650.308609009,293.49327087402344,105539.34064404717,328509.57502469316,6077628.374099731,5052.328109741211,88813.56431600807,301622.6703113535,1101.1142857142856,5.6,6611.690476190476,12.5,5280.12595974543,36890.8100172673,101.57378335949764,392.9853190287973,0,1274,1771,129405,695977
192.168.10.111,255.255.255.255,68,67,17,2022-08-25 06:55:59,97183969.0208435,1646.9382925250977,4.8156090424710465,4.8156090424710465,0.0,468,0,160056,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,342,342,342.0,0.0,0.0,3744,0,8,468,208102.71738938653,15660190.82069397,96017.12226867676,852748.6283210157,97183969.0208435,15660190.82069397,96017.12226867676,208102.71738938653,852748.6283210157,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,15483153.104782104,7.152557373046875,143255.8063050391,1294755.7701445248,6991775.274276733,7535.696029663086,111665.74384855188,634905.8799734769,138000.0,460.0,0.0,0.0,2210.4063752112947,0.0,342.0,0.0,0,468,0,160056,0
192.168.10.111,188.172.244.145,36612,5938,6,2022-08-25 06:56:00,227491.6172027588,685.7395534753277,8.791532736863177,4.395766368431588,4.395766368431588,1,1,90,66,90.0,90.0,90.0,0.0,66.0,66.0,66.0,0.0,90,66,78.0,12.0,144.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,78.0,501,1356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,66.0,0,1,1,90,66
192.168.10.27,224.0.0.251,5353,5353,17,2022-08-25 06:56:03,93596011.40022278,101.72442027777839,1.1325268931251455,1.1325268931251455,0.0,106,0,9521,0,119.0,81.0,89.82075471698113,15.365237148770253,0.0,0.0,0.0,0.0,119,81,89.82075471698113,15.365237148770253,236.09051263794942,848,0,8,106,891390.5847640265,30535310.745239258,118.01719665527344,3447816.6775079262,93596011.40022278,30535310.745239258,118.01719665527344,891390.5847640265,3447816.6775079262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.82075471698113,0,0,30533813.4765625,5582.571029663086,3203842.4103348344,6137553.265211118,30531381.607055664,5003.213882446289,3001697.071667375,5967625.788564538,335.26666666666665,7.0,0.0,0.0,1290.629383315215,0.0,89.82075471698113,0.0,0,106,0,9521,0
192.168.10.34,224.0.0.251,5353,5353,17,2022-08-25 06:56:03,93593095.77941895,134.46504675580388,1.4210449915392862,1.4210449915392862,0.0,133,0,12585,0,119.0,81.0,94.62406015037594,17.72836031490303,0.0,0.0,0.0,0.0,119,81,94.62406015037594,17.72836031490303,314.29475945502855,1064,0,8,133,709038.6043895375,30406099.557876587,468.7309265136719,2932027.5480211983,93593095.77941895,30406099.557876587,468.7309265136719,709038.6043895375,2932027.5480211983,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.62406015037594,0,0,30348592.99659729,4817.24739074707,2536339.2763667637,5175709.223856725,30404078.245162964,5058.526992797852,2186978.641010466,4875933.058967545,359.94736842105266,6.7894736842105265,0.0,0.0,1555.5969365556516,0.0,94.62406015037594,0.0,0,133,0,12585,0
192.168.10.11,192.168.10.111,58541,1883,6,2022-08-25 06:56:05,83.44650268554688,1294242.377142857,23967.45142857143,11983.725714285714,11983.725714285714,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,5739,64191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.168.10.11,192.168.10.111,58542,1883,6,2022-08-25 06:56:05,22488168.239593506,26.725164699802317,0.4446782811947141,0.22233914059735704,0.22233914059735704,5,5,323,278,81.0,54.0,64.6,11.551623262554921,58.0,54.0,55.6,1.9595917942265426,81,54,60.1,9.428149341201593,88.89000000000001,100,100,20,2,2498685.359954834,22440428.972244263,52.69050598144531,7050477.324569181,22488168.239593506,22471332.31163025,2275.705337524414,5622042.059898376,9727942.783659855,22457289.218902588,22440428.972244263,224.59030151367188,5614322.304725647,9714557.900769547,0,0,0,0,1,0,0,0,0,0,0,1.0,60.1,5744,64191,10367.631912231445,224.59030151367188,5296.111106872559,5071.520805358887,22440351.963043213,10220.050811767578,11225286.00692749,11215065.956115723,0.0,0.0,0.0,0.0,0.0,0.0,64.6,55.6,0,5,5,323,278
192.168.10.111,192.168.10.12,1883,55814,6,2022-08-25 06:56:05,51523.20861816406,2096.1427460852183,38.81745826083738,19.40872913041869,19.40872913041869,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,64191,5739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
0.0.0.0,255.255.255.255,68,67,17,2022-08-25 06:56:12,14130812.883377075,103.03724293970238,0.2830693487354461,0.2830693487354461,0.0,4,0,1456,0,364.0,364.0,364.0,0.0,0.0,0.0,0.0,0.0,364,364,364.0,0.0,0.0,32,0,8,4,4710270.961125691,8016179.084777832,1124270.4391479492,2820572.0470177466,14130812.883377075,8016179.084777832,1124270.4391479492,4710270.961125691,2820572.0470177466,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,364.0,0,0,0.0,0.0,0.0,0.0,6891908.645629883,1124270.4391479492,4008089.542388916,2883819.103240967,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0,4,0,1456,0
